geo\time,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08
Euro area (changing composition),99.2,99.66,99.72,100.22,100.94,100.81,100.73,100.82,100.66,100.64,100.59,100.73
Euro area (19 countries),99.2,99.66,99.72,100.22,100.94,100.81,100.73,100.82,100.66,100.64,100.59,100.73
Euro area (18 countries),99.21,99.66,99.73,100.23,100.95,100.82,100.74,100.82,100.67,100.64,100.59,100.73
European Union (changing composition),99.39,99.78,99.87,100.26,100.86,100.79,100.75,100.86,100.82,100.8,100.85,100.99
EU (28 countries),99.39,99.78,99.87,100.26,100.86,100.79,100.75,100.86,100.82,100.8,100.85,100.99
Belgium,102.41,103.21,103.06,104.33,105.77,106.29,106.5,105.84,105.34,105.01,104.98,105.38
Bulgaria,99.22,99.29,99.28,99.31,99.69,99.83,99.77,101.22,101.3,101.27,102.02,102.33
Czech Republic,100,100.1,100.2,100.2,100.7,100.3,100.3,100.4,100.4,100.4,100.4,100.5
Denmark,99.7,100,100.4,100.6,100.6,101.5,101.7,101.1,100.8,100.7,100.6,100.6
Germany,99.3,99.7,99.6,100.1,100.4,100.5,100.4,100.6,100.5,100.4,100.5,100.6
Estonia,98.49,99.45,99.84,99.08,99.96,99.98,99.04,98.97,99.45,99.81,101.11,102.42
Ireland,101.6,102.2,102,102.7,102.9,103.3,103.2,103.5,103.2,103.8,104,104.4
Greece,96.26,98.58,98.35,99.11,99.64,99.72,99.45,99.28,98.99,98.73,98.53,98.15
Spain,95.93,97.94,98.59,99.88,102.67,99.65,98.15,98.26,98.51,98.78,98.56,98.68
France,99.9,100.09,100.33,100.73,101.56,101.58,101.74,101.67,101.31,101.2,100.79,101.09
Croatia,97.04,97.21,97.24,97.62,94.27,94.32,94.01,93.8,93.49,93.28,93.21,93.58
Italy,98.3,98.4,98.5,98.6,99.4,99.9,100,100.3,100.3,100.3,100,100
Cyprus,94.75,95.29,96.01,97.59,97.84,99.48,101.27,101.41,100.12,100.13,98.73,99.03
Latvia,97.35,97.38,97.15,97.84,98.01,99.1,99.04,98.78,98.83,98.91,99.14,99.31
Lithuania,96.66,97.28,98.03,97.78,98.62,98.76,99.71,99.16,98.2,99.93,100.07,100.19
Luxembourg,98.5,98.8,98.67,99.45,100.06,100.05,100.05,100.16,99.68,99.54,99.44,99.7
Hungary,100.54,100.61,100.67,100.7,100.79,101.07,101.27,101.35,101.34,101.56,101.67,101.78
Malta,101.46,101.06,101.13,101.13,101.24,101.25,101.28,101.59,101.63,101.63,102.36,102.58
Netherlands,99.64,99.55,99.47,99.67,100.2,100.21,100.47,100.35,100.11,100.15,101.12,101.09
Austria,101.37,101.5,101.57,101.99,101.8,102.02,102.07,101.97,102.2,102.17,102.35,102.54
Poland,99.6,99.7,99.8,100,100.7,100.8,100.8,101,101.1,101.1,101.2,101.4
Portugal,99.55,99.92,99.98,100.08,101,100.93,101.18,101.1,100.92,100.77,100.6,100.7
Romania,97.21,97.75,97.81,97.9,97.48,97.61,97.73,98.32,98.61,98.73,100.13,100.32
Slovenia,98.98,98.96,99.71,99.49,100.04,101.23,101.47,101.15,101.38,101.52,100.96,101.32
Slovakia,98.13,98.17,98.19,98.2,95.96,96.07,96.12,96.16,96.19,96.12,96.19,96.2
Finland,102.11,102.56,102.51,102.9,103.51,103.64,103.89,104.07,104.01,104.37,104.47,104.61
Sweden,101.59,102.58,103.75,103.02,103.74,103.77,103.42,102.86,102.93,102.42,103.85,104.16
United Kingdom,100.3,100.5,100.5,100.7,100.8,100.9,101,101.4,102,102,102.3,102.4
Iceland,104.23,104.19,104.55,104.72,105.78,105.84,105.71,105.9,105.92,106.36,106.65,106.92
Norway,107.9,111.5,115.2,112.8,113.3,113.7,113.5,113.1,112.9,111.5,112.1,112.4
Switzerland,99.87,100.14,100.26,100.59,100.87,100.71,100.63,100.77,100.82,100.76,100.84,101.16
Serbia,101.7,103.2,103.5,103.7,103.9,105.1,105,104.2,103.9,103.8,103.7,104.2
Turkey,107.66,107.41,108.34,109.36,111.36,112.67,113.16,113.4,113.86,114.21,114.72,:
United States,103.45,102.81,102.77,103.11,103.81,104.15,104.14,104.46,105.09,106.29,106.51,106.75
